Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Bestseller sort (product.metafields.custom.bestseller_sort),Best for (product.metafields.custom.best_for),Creator note creator (slug) (product.metafields.custom.creator_note_creator),Creator note quote (product.metafields.custom.creator_note_quote),How it wears (product.metafields.custom.how_it_wears),How to use (product.metafields.custom.how_to_use),Made the edit (product.metafields.custom.made_the_edit),Related products (product.metafields.custom.related_products),Short description (product.metafields.custom.short_description),Why it made the edit (product.metafields.custom.why_it_made_the_edit),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
yunjac-skin-perfecting-protective-base-prep,Skin Perfecting Protective Base Prep,<p>A protective base prep that smooths skin under makeup. 25 ml.</p>,YUNJAC,,Prep & Finish,"makeup, new, prep-and-finish",true,Option,Pearl Echo,,,,,,,,yunjac-skin-perfecting-protective-base-prep-01,0.0,shopify,deny,manual,52.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/yunjac-skin-perfecting-base-prep-01.webp?v=1779882758,1,"",false,,,,"Under base
Daily prep
Even-finish skin",,,,"After skincare, press a pea-sized amount across the face. Allow to settle, then apply base.",,,A protective base prep that smooths skin under makeup. 25 ml.,"A base prep that reads as skincare, with two distinct finishes: a soft pearled glow and a quiet velvet matte. Designed to live under base, not on top of it.",,,,lb,,,,,,active
yunjac-skin-perfecting-protective-base-prep,,,,,,,,,Silent Velvet,,,,,,,,yunjac-skin-perfecting-protective-base-prep-02,0.0,shopify,deny,manual,52.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/yunjac-skin-perfecting-base-prep-02.webp?v=1779882758,2,"",,,,,,,,,,,,,,,,,lb,,,,,,
toxnfill-eye-and-face-serum,Eye & Face Serum,<p>A slow-aging serum for eye and face. 30 ml.</p>,TOXNFILL,,Lip & Eye Care,"lip-and-eye-care, new, skincare",true,Option,30 ml,,,,,,,,toxnfill-eye-and-face-serum-01,0.0,shopify,deny,manual,48.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/toxnfill-eye-face-serum-01.webp?v=1779882753,1,"",false,,,,"Eye area
Lift and elasticity
Daily use",,,,Dispense one to two pumps. Press across the face and gently pat around the eye area morning and night.,,,A slow-aging serum for eye and face. 30 ml.,"A single serum that does double duty across the eye area and the face, with a slow-aging brief focused on lift, elasticity, and the wrinkle barrier.",,,,lb,,,,,,active
toxnfill-eye-and-face-serum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/toxnfill-eye-face-serum-02.webp?v=1779882753,2,"",,,,,,,,,,,,,,,,,,,,,,,
toxnfill-eye-and-face-serum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/toxnfill-eye-face-serum-03.webp?v=1779882753,3,"",,,,,,,,,,,,,,,,,,,,,,,
the-whoo-royal-regina-energetic-special-set,Royal Regina Energetic Special Set,"<p>The Royal Regina duo: Serum 30 ml and Cream 50 ml, with travel companions.</p>",The Whoo,,Prep & Hydrate,"limited, new, prep-and-hydrate, skincare",true,Option,Serum 30 ml + Cream 50 ml,,,,,,,,the-whoo-royal-regina-energetic-special-set-01,0.0,shopify,deny,manual,188.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/the-whoo-royal-regina-set-01.webp?v=1779882749,1,"",false,,,,"Daily ritual
Gifting
Mature skin",,,,"After cleansing and toning, press the Energetic Repair Serum across the face, then seal with the Royal Regina Cream morning and night.",,,"The Royal Regina duo: Serum 30 ml and Cream 50 ml, with travel companions.",The Royal Regina line distilled into a two-step ritual. A heritage skincare set with the kind of object weight and finish that justifies a slow shelf.,,,,lb,,,,,,active
the-whoo-royal-regina-energetic-special-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/the-whoo-royal-regina-set-02.webp?v=1779882749,2,"",,,,,,,,,,,,,,,,,,,,,,,
sum37-secret-rice-nuruk-daily-exfoliating-cleanser,Secret Rice Nuruk Daily Exfoliating Cleanser,"<p>A daily exfoliating cleanser with Rice Nuruk Ferment, PHA and Ceramide. 120 g.</p>",su:m37°,,Cleanse & Remove,"cleanse-and-remove, new, skincare",true,Option,120 g,,,,,,,,sum37-secret-rice-nuruk-daily-exfoliating-cleanser-01,0.0,shopify,deny,manual,38.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/sum37-rice-nuruk-exfoliating-cleanser-01.webp?v=1779882745,1,"",false,,,,"Daily use
Gentle exfoliation
Smoothing",,,,"Massage onto damp skin morning or night, then rinse with lukewarm water.",,,"A daily exfoliating cleanser with Rice Nuruk Ferment, PHA and Ceramide. 120 g.","A daily exfoliating cleanser from su:m37°'s naturally fermented line, built around Rice Nuruk Ferment with PHA and Ceramide.",,,,lb,,,,,,active
sum37-secret-rice-nuruk-daily-exfoliating-cleanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/sum37-rice-nuruk-exfoliating-cleanser-02.webp?v=1779882745,2,"",,,,,,,,,,,,,,,,,,,,,,,
sum37-secret-rice-nuruk-daily-exfoliating-cleanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/sum37-rice-nuruk-exfoliating-cleanser-03.webp?v=1779882745,3,"",,,,,,,,,,,,,,,,,,,,,,,
returnity-yulmu-skinclean-pore-ampoule,Yulmu Skinclean Pore Ampoule,<p>A yulmu ampoule for pore refinement and hydration. 40 ml.</p>,RETURNITY,,Masks & Treatments,"masks-and-treatments, new, skincare",true,Option,40 ml,,,,,,,,returnity-yulmu-skinclean-pore-ampoule-01,0.0,shopify,deny,manual,36.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/returnity-yulmu-skinclean-pore-ampoule-01.webp?v=1779882740,1,"",false,,,,"Pore care
Smoothing
Hydration",,,,,,,A yulmu ampoule for pore refinement and hydration. 40 ml.,"A single-grain ampoule built around yulmu, with a quiet brief: refine pores, calm, hydrate.",,,,lb,,,,,,active
returnity-yulmu-skinclean-pore-ampoule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/returnity-yulmu-skinclean-pore-ampoule-02.webp?v=1779882740,2,"",,,,,,,,,,,,,,,,,,,,,,,
rejuran-biome-healer-youth-formula-cream,Biome Healer Youth Formula Cream,<p>A barrier cream from REJURAN's Biome Healer line. 50 ml.</p>,REJURAN,,Prep & Hydrate,"new, prep-and-hydrate, skincare",true,Option,50 ml,,,,,,,,rejuran-biome-healer-youth-formula-cream-01,0.0,shopify,deny,manual,64.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/rejuran-biome-healer-youth-cream-01.webp?v=1779882736,1,"",false,,,,"Barrier support
Daily moisture",,,,,,,A barrier cream from REJURAN's Biome Healer line. 50 ml.,"A quiet, derm-leaning jar from REJURAN's Biome Healer line. The brief is barrier and biome rather than active overload.",,,,lb,,,,,,active
rejuran-biome-healer-youth-formula-cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/rejuran-biome-healer-youth-cream-02.webp?v=1779882736,2,"",,,,,,,,,,,,,,,,,,,,,,,
lbb-goldrella-peptide-28-anti-melanin-essence,Goldrella Peptide 28 Anti-Melanin Essence,<p>A brightening essence with Goldrella Peptide. 150 ml.</p>,LBB,,Masks & Treatments,"masks-and-treatments, new, skincare",true,Option,150 ml,,,,,,,,lbb-goldrella-peptide-28-anti-melanin-essence-01,0.0,shopify,deny,manual,68.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/lbb-goldrella-peptide-28-essence-01.webp?v=1779882733,1,"",false,,,,"Tone brightening
Pigmentation care
Elasticity",,,,"After toner, dispense a small amount and press evenly across the face morning and night. Follow with cream.",,,A brightening essence with Goldrella Peptide. 150 ml.,"A focused brightening essence built around Goldrella Peptide and Idebenonesome, with a clinical brief: tone, turnover, elasticity.",,,,lb,,,,,,active
lbb-goldrella-peptide-28-anti-melanin-essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/lbb-goldrella-peptide-28-essence-02.webp?v=1779882733,2,"",,,,,,,,,,,,,,,,,,,,,,,
lbb-goldrella-peptide-28-anti-melanin-essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/lbb-goldrella-peptide-28-essence-03.webp?v=1779882733,3,"",,,,,,,,,,,,,,,,,,,,,,,
hera-homme-black-active-2p-set,Homme Black Active 2P Set,<p>A two-step men's ritual: Toner 125 ml and Emulsion 110 ml.</p>,HERA,,Prep & Hydrate,"new, prep-and-hydrate, skincare",true,Option,Toner 125 ml + Emulsion 110 ml,,,,,,,,hera-homme-black-active-2p-set-01,0.0,shopify,deny,manual,98.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-homme-black-active-set-01.webp?v=1779882728,1,"",false,,,,"Men's daily ritual
Two-step routines
Gifting",,,,"Morning and night after cleansing, smooth the toner across the face, then follow with the emulsion.",,,A two-step men's ritual: Toner 125 ml and Emulsion 110 ml.,"HERA's quiet, prestige men's ritual paired in a single set: a refining toner and a comforting emulsion in dark, weighted glass.",,,,lb,,,,,,active
hera-homme-black-active-2p-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-homme-black-active-set-02.webp?v=1779882728,2,"",,,,,,,,,,,,,,,,,,,,,,,
hera-homme-black-active-2p-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/hera-homme-black-active-set-03.webp?v=1779882728,3,"",,,,,,,,,,,,,,,,,,,,,,,
fully-green-tomato-cream,Green Tomato Cream,<p>A vegan pore-lifting cream with 65% green tomato. 90 ml.</p>,Fully,,Prep & Hydrate,"new, prep-and-hydrate, skincare",true,Option,90 ml,,,,,,,,fully-green-tomato-cream-01,0.0,shopify,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/fully-green-tomato-cream-01.webp?v=1779882723,1,"",false,,,,"Pore care
Daily moisture
Vegan routines",,,,"After serum, scoop a small amount and press evenly across the face morning and night.",,,A vegan pore-lifting cream with 65% green tomato. 90 ml.,"A clean, single-hero formula: 65% green tomato in a vegan base, with a clear pore-lifting brief.",,,,lb,,,,,,active
fully-green-tomato-cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/fully-green-tomato-cream-02.webp?v=1779882723,2,"",,,,,,,,,,,,,,,,,,,,,,,
fully-green-tomato-cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/fully-green-tomato-cream-03.webp?v=1779882723,3,"",,,,,,,,,,,,,,,,,,,,,,,
easydew-lift-pdrn-neck-patch,Lift PDRN Neck Patch,"<p>A lifting neck patch with DW-EGF, PDRN, and peptide complex. 4 sheets.</p>",Easydew,,Masks & Treatments,"masks-and-treatments, new, skincare",true,Option,4 sheets,,,,,,,,easydew-lift-pdrn-neck-patch-01,0.0,shopify,deny,manual,42.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/easydew-lift-pdrn-neck-patch-01.webp?v=1779882718,1,"",false,,,,"Neck care
Lift and firm
Targeted treatment",,,,"After cleansing and toning, apply a patch to the neck area. Leave on for 20 to 30 minutes, then gently pat any remaining essence into the skin.",,,"A lifting neck patch with DW-EGF, PDRN, and peptide complex. 4 sheets.",,,,,lb,,,,,,active
easydew-lift-pdrn-neck-patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/easydew-lift-pdrn-neck-patch-02.webp?v=1779882718,2,"",,,,,,,,,,,,,,,,,,,,,,,
easydew-lift-pdrn-neck-patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/easydew-lift-pdrn-neck-patch-03.webp?v=1779882718,3,"",,,,,,,,,,,,,,,,,,,,,,,
demar3-signature-silt-vale-creme,Signature Silt Vale Crème,<p>A nourishing cream with mineral-rich silt extract. 50 ml.</p>,DEMAR3,,Prep & Hydrate,"prep-and-hydrate, skincare",true,Option,50 ml,,,,,,,,demar3-signature-silt-vale-creme-01,0.0,shopify,deny,manual,82.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/demar3-signature-silt-vale-creme-01.webp?v=1779882713,1,"",false,,,,"Skin clarity
Elasticity
Daily moisture",,,,"After serum, dispense a small amount and press evenly across the face morning and night.",,,A nourishing cream with mineral-rich silt extract. 50 ml.,"A sculptural dark-tube cream built around Centella Asiatica from a secluded Kerala jungle and Madecassoside, for skin that feels clear and elastic.",,,,lb,,,,,,active
demar3-signature-silt-vale-creme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/demar3-signature-silt-vale-creme-02.webp?v=1779882713,2,"",,,,,,,,,,,,,,,,,,,,,,,
demar3-etsere-melatonic-ampoule,Etsere Melatonic Ampoule,<p>A concentrated brightening ampoule for tone correction. 30 ml.</p>,DEMAR3,,Masks & Treatments,"masks-and-treatments, skincare",true,Option,30 ml,,,,,,,,demar3-etsere-melatonic-ampoule-01,0.0,shopify,deny,manual,64.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/demar3-etsere-melatonic-ampoule-01.webp?v=1779882709,1,"",false,,,,"Dull-looking skin
Tone brightening
Daily glow",,,,"After toner, dispense a small amount and press evenly across the face morning and night. Follow with cream.",,,A concentrated brightening ampoule for tone correction. 30 ml.,"A quiet, sculptural ampoule with a focused brief: brighten dark, dull-looking skin and leave a healthy, glowing finish.",,,,lb,,,,,,active
demar3-etsere-melatonic-ampoule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/demar3-etsere-melatonic-ampoule-02.webp?v=1779882709,2,"",,,,,,,,,,,,,,,,,,,,,,,
demar3-etsere-melatonic-ampoule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/demar3-etsere-melatonic-ampoule-03.webp?v=1779882709,3,"",,,,,,,,,,,,,,,,,,,,,,,
demar3-etsere-melacare-creme,Etsere Melacare Crème,<p>A brightening cream with melanin-care actives. 50 ml.</p>,DEMAR3,,Prep & Hydrate,"prep-and-hydrate, skincare",true,Option,50 ml,,,,,,,,demar3-etsere-melacare-creme-01,0.0,shopify,deny,manual,72.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/demar3-etsere-melacare-creme-01.webp?v=1779882704,1,"",false,,,,"Dry-looking skin
Tone brightening
Daily moisture",,,A cushiony cream that melts in and finishes soft and glowing rather than tacky.,"After serum, scoop a pea-sized amount and press evenly across the face morning and night.",,,A brightening cream with melanin-care actives. 50 ml.,"A quiet, sculptural jar with a focused brief: smooth dry-looking skin, brighten tone, and leave a healthy, glowing finish.",,,,lb,,,,,,active
demar3-etsere-melacare-creme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/demar3-etsere-melacare-creme-02.webp?v=1779882704,2,"",,,,,,,,,,,,,,,,,,,,,,,
demar3-etsere-melacare-creme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/demar3-etsere-melacare-creme-03.webp?v=1779882704,3,"",,,,,,,,,,,,,,,,,,,,,,,
cosme-chef-heukdango-ampoule,Heukdango Ampoule,<p>A black rice ferment ampoule for elasticity and nourishment. 30 ml.</p>,Cosme Chef,,Masks & Treatments,"masks-and-treatments, skincare",true,Option,30 ml,,,,,,,,cosme-chef-heukdango-ampoule-01,0.0,shopify,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/cosme-chef-heukdango-ampoule-01.webp?v=1779882699,1,"",false,,,,,,,,,,,A black rice ferment ampoule for elasticity and nourishment. 30 ml.,,,,,lb,,,,,,active
cosme-chef-heukdango-ampoule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/cosme-chef-heukdango-ampoule-02.webp?v=1779882699,2,"",,,,,,,,,,,,,,,,,,,,,,,
cosme-chef-heukdango-ampoule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/cosme-chef-heukdango-ampoule-03.webp?v=1779882699,3,"",,,,,,,,,,,,,,,,,,,,,,,
cosme-chef-baekdango-ampoule,Baekdango Ampoule,<p>A rice wine ferment ampoule for tone and hydration. 30 ml.</p>,Cosme Chef,,Masks & Treatments,"masks-and-treatments, skincare",true,Option,30 ml,,,,,,,,cosme-chef-baekdango-ampoule-01,0.0,shopify,deny,manual,32.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/cosme-chef-baekdango-ampoule-01.webp?v=1779882695,1,"",false,,,,,,,,,,,A rice wine ferment ampoule for tone and hydration. 30 ml.,,,,,lb,,,,,,active
cosme-chef-baekdango-ampoule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0830/5741/0292/files/cosme-chef-baekdango-ampoule-02.webp?v=1779882695,2,"",,,,,,,,,,,,,,,,,,,,,,,
